Team,Input,Total
CSK,53,240
CSK,53,208
CSK,45,152
CSK,36,165
CSK,47,172
CSK,38,110
CSK,34,144
CSK,62,188
CSK,53,181
CSK,28,156
CSK,43,55
CSK,44,112
CSK,65,201
CSK,44,148
CSK,35,116
CSK,42,164
CSK,40,146
CSK,68,179
CSK,61,180
CSK,62,165
CSK,40,164
CSK,53,145
CSK,53,100
CSK,57,185
CSK,37,141
CSK,52,132
CSK,35,151
CSK,54,188
CSK,50,116
CSK,52,149
CSK,34,159
CSK,31,164
CSK,56,190
CSK,51,146
CSK,29,171
CSK,51,180
CSK,58,160
CSK,56,162
CSK,66,246
CSK,42,165
CSK,55,138
CSK,67,143
CSK,39,112
CSK,49,195
CSK,39,142
CSK,40,168
CSK,45,153
CSK,31,193
CSK,45,183
CSK,42,131
CSK,44,156
CSK,45,142
CSK,28,145
CSK,34,165
CSK,43,149
CSK,15,114
CSK,55,196
CSK,42,176
CSK,41,152
CSK,23,129
CSK,25,177
CSK,56,205
CSK,42,112
CSK,44,193
CSK,41,110
CSK,52,208
CSK,43,155
CSK,42,164
CSK,45,147
CSK,48,149
CSK,43,139
CSK,56,160
CSK,52,173
CSK,36,127
CSK,45,114
CSK,51,160
CSK,25,120
CSK,30,149
CSK,52,136
CSK,54,190
CSK,36,139
CSK,38,139
CSK,31,166
CSK,38,135
CSK,39,169
CSK,27,124
CSK,58,186
CSK,58,160
CSK,67,200
CSK,29,164
CSK,36,186
CSK,32,79
CSK,50,223
CSK,37,141
CSK,47,168
CSK,56,82
CSK,47,192
CSK,35,125
CSK,70,205
CSK,34,177
CSK,51,140
CSK,51,142
CSK,47,146
CSK,43,148
CSK,49,181
CSK,46,187
CSK,38,160
CSK,48,148
CSK,39,138
CSK,35,154
CSK,60,185
CSK,64,160
CSK,60,176
CSK,100,202
CSK,59,150
CSK,49,209
CSK,69,165
CSK,90,189
CSK,39,157
CSK,45,181
CSK,54,95
CSK,53,134
CSK,54,170
CSK,37,124
CSK,44,158
CSK,36,157
CSK,16,119
CSK,47,134
CSK,54,187
CSK,34,140
CSK,31,161
CSK,42,176
CSK,75,212
CSK,58,198
CSK,70,148
CSK,28,186
CSK,56,218
CSK,52,176
CSK,57,218
CSK,57,184
CSK,43,135
CSK,59,188
CSK,53,192
CSK,45,130
CSK,35,168
CSK,34,145
CSK,37,186
CSK,17,76
CSK,62,157
CSK,29,182
CSK,36,147
CSK,55,165
CSK,42,119
CSK,24,164
CSK,44,164
CSK,44,140
CSK,38,172
CSK,49,179
CSK,40,116
CSK,28,186
CSK,44,172
CSK,33,136
CSK,42,162
CSK,54,152
