Team,Input,Total
DC,43,142
DC,62,205
DC,49,137
DC,53,168
DC,56,176
DC,23,142
DC,53,160
DC,25,67
DC,62,189
DC,63,214
DC,35,212
DC,64,197
DC,54,161
DC,42,161
DC,55,132
DC,48,142
DC,45,158
DC,58,191
DC,64,169
DC,37,133
DC,50,187
DC,47,156
DC,37,110
DC,48,194
DC,68,94
DC,71,158
DC,56,179
DC,28,87
DC,58,58
DC,59,189
DC,43,150
DC,42,147
DC,41,150
DC,49,163
DC,57,157
DC,36,118
DC,47,125
DC,56,173
DC,38,120
DC,35,150
DC,37,134
DC,60,166
DC,49,153
DC,39,146
DC,60,142
DC,56,120
DC,52,185
DC,48,171
DC,64,183
DC,62,177
DC,52,188
DC,54,184
DC,44,167
DC,45,112
DC,69,144
DC,33,113
DC,39,134
DC,38,95
DC,30,151
DC,67,190
DC,38,152
DC,70,231
DC,42,160
DC,41,148
DC,34,157
DC,42,141
DC,29,175
DC,23,146
DC,52,158
DC,42,141
DC,33,56
DC,48,100
DC,46,137
DC,50,111
DC,34,157
DC,41,92
DC,64,193
DC,49,172
DC,61,148
DC,54,207
DC,42,151
DC,61,141
DC,50,154
DC,27,115
DC,37,140
DC,51,194
DC,44,145
DC,49,144
DC,46,222
DC,45,128
DC,39,160
DC,46,165
DC,29,115
DC,54,163
DC,32,83
DC,60,165
DC,21,164
DC,37,164
DC,34,137
DC,26,81
DC,42,154
DC,49,183
DC,40,120
DC,49,135
DC,47,134
DC,30,145
DC,49,167
DC,24,84
DC,44,184
DC,31,126
DC,46,152
DC,46,178
DC,29,160
DC,52,143
DC,46,170
DC,34,139
DC,55,164
DC,47,158
DC,44,115
DC,40,149
DC,51,184
DC,47,169
DC,40,167
DC,34,146
DC,45,190
DC,38,95
DC,36,158
DC,41,119
DC,55,175
DC,44,152
DC,49,163
DC,28,120
DC,54,187
DC,35,98
DC,28,113
DC,51,192
DC,41,154
DC,22,172
DC,37,159
DC,61,150
DC,48,166
DC,51,181
DC,50,150
DC,49,206
DC,28,121
DC,37,161
DC,43,138
DC,48,172
DC,63,63
DC,53,197
DC,62,136
DC,31,186
DC,52,148
DC,57,223
DC,60,206
DC,62,203
DC,61,166
DC,39,193
DC,47,198
DC,43,171
DC,49,186
DC,47,219
DC,45,154
DC,56,199
DC,54,163
DC,37,134
DC,60,164
DC,57,183
DC,53,164
DC,48,136
DC,60,168
DC,59,194
DC,61,193
DC,59,99
DC,50,126
DC,56,171
DC,42,155
