Team,Input,Total
KKR,73,184
KKR,59,180
KKR,76,171
KKR,40,155
KKR,49,169
KKR,65,187
KKR,65,131
KKR,45,184
KKR,47,161
KKR,44,161
KKR,41,155
KKR,105,159
KKR,61,167
KKR,53,164
KKR,48,48
KKR,25,107
KKR,61,222
KKR,26,112
KKR,61,147
KKR,40,138
KKR,51,196
KKR,31,178
KKR,41,129
KKR,43,204
KKR,35,133
KKR,27,68
KKR,35,149
KKR,32,150
KKR,51,175
KKR,21,104
KKR,60,79
KKR,53,165
KKR,47,95
KKR,45,143
KKR,26,148
KKR,28,153
KKR,54,154
KKR,37,123
KKR,38,173
KKR,31,160
KKR,56,189
KKR,29,102
KKR,38,161
KKR,61,136
KKR,45,109
KKR,38,134
KKR,41,155
KKR,50,183
KKR,36,137
KKR,46,181
KKR,53,200
KKR,50,181
KKR,61,160
KKR,22,139
KKR,42,133
KKR,44,135
KKR,52,151
KKR,46,163
KKR,62,159
KKR,26,85
KKR,37,126
KKR,50,175
KKR,42,131
KKR,45,119
KKR,41,169
KKR,43,139
KKR,33,61
KKR,33,105
KKR,44,118
KKR,46,175
KKR,25,147
KKR,46,97
KKR,27,142
KKR,60,165
KKR,36,137
KKR,48,132
KKR,53,127
KKR,42,127
KKR,46,190
KKR,37,140
KKR,68,143
KKR,60,153
KKR,32,155
KKR,50,158
KKR,32,140
KKR,27,102
KKR,48,162
KKR,56,192
KKR,46,129
KKR,40,144
KKR,44,154
KKR,48,132
KKR,45,157
KKR,47,119
KKR,61,159
KKR,45,150
KKR,63,186
KKR,37,136
KKR,48,133
KKR,38,105
KKR,50,152
KKR,31,116
KKR,33,163
KKR,33,130
KKR,31,163
KKR,31,166
KKR,42,150
KKR,24,109
KKR,44,163
KKR,39,114
KKR,50,160
KKR,52,161
KKR,55,149
KKR,45,142
KKR,30,146
KKR,52,156
KKR,45,165
KKR,49,161
KKR,55,135
KKR,59,200
KKR,38,168
KKR,53,177
KKR,38,169
KKR,53,159
KKR,48,147
KKR,49,101
KKR,50,171
KKR,54,132
KKR,61,111
KKR,55,167
KKR,57,184
KKR,50,166
KKR,53,190
KKR,47,99
KKR,40,187
KKR,36,146
KKR,65,141
KKR,59,162
KKR,59,174
KKR,43,186
KKR,37,189
KKR,40,164
KKR,28,158
KKR,66,103
KKR,51,186
KKR,44,124
KKR,48,171
KKR,46,140
KKR,71,190
KKR,65,207
KKR,49,145
KKR,50,206
KKR,53,165
KKR,53,200
KKR,51,168
KKR,53,184
KKR,58,192
KKR,52,177
KKR,47,109
KKR,59,250
KKR,52,147
KKR,70,180
KKR,53,145
KKR,69,163
KKR,47,187
KKR,54,223
KKR,44,200
KKR,66,210
KKR,67,151
KKR,33,114
KKR,42,183
KKR,53,170
KKR,41,219
KKR,62,164
KKR,37,185
KKR,50,241
KKR,63,192
KKR,51,143
