Team,Input,Total
MI,61,184
MI,49,178
MI,61,158
MI,21,142
MI,56,177
MI,82,199
MI,48,128
MI,44,157
MI,72,164
MI,55,162
MI,60,66
MI,36,138
MI,68,223
MI,51,173
MI,42,142
MI,36,111
MI,32,128
MI,47,165
MI,52,202
MI,39,116
MI,27,154
MI,38,137
MI,50,162
MI,34,103
MI,39,126
MI,78,158
MI,68,67
MI,57,178
MI,68,188
MI,60,176
MI,29,145
MI,40,165
MI,50,168
MI,61,187
MI,23,116
MI,40,139
MI,25,149
MI,41,126
MI,30,116
MI,46,157
MI,42,122
MI,26,143
MI,49,147
MI,30,165
MI,69,212
MI,67,218
MI,45,151
MI,57,156
MI,63,181
MI,52,172
MI,45,164
MI,53,178
MI,46,141
MI,51,154
MI,47,137
MI,44,183
MI,34,191
MI,42,133
MI,54,184
MI,33,146
MI,31,99
MI,40,140
MI,44,182
MI,32,124
MI,40,164
MI,57,172
MI,31,95
MI,35,159
MI,49,160
MI,50,178
MI,33,87
MI,26,125
MI,26,133
MI,54,178
MI,62,148
MI,52,142
MI,53,115
MI,27,129
MI,29,142
MI,54,197
MI,23,93
MI,39,164
MI,40,171
MI,49,170
MI,31,101
MI,42,120
MI,46,174
MI,25,141
MI,49,182
MI,32,173
MI,26,108
MI,44,163
MI,54,187
MI,38,156
MI,41,148
MI,38,209
MI,48,142
MI,26,92
MI,24,161
MI,42,162
MI,52,194
MI,36,174
MI,41,129
MI,32,139
MI,41,170
MI,37,116
MI,39,184
MI,49,166
MI,51,133
MI,56,144
MI,45,169
MI,34,148
MI,32,122
MI,49,116
MI,31,141
MI,37,125
MI,32,157
MI,49,170
MI,50,187
MI,42,157
MI,38,160
MI,37,141
MI,42,178
MI,62,159
MI,65,173
MI,71,189
MI,53,173
MI,37,170
MI,17,159
MI,31,164
MI,31,183
MI,48,209
MI,48,153
MI,46,157
MI,47,187
MI,51,172
MI,41,153
MI,61,159
MI,45,235
MI,46,171
MI,38,113
MI,48,162
MI,61,202
MI,37,121
MI,53,188
MI,31,143
MI,40,142
MI,51,171
MI,52,164
MI,39,189
MI,64,178
MI,47,161
MI,32,177
MI,39,151
MI,21,124
MI,45,126
MI,49,172
MI,40,169
MI,59,155
MI,90,204
MI,71,173
MI,44,172
MI,23,89
MI,52,180
MI,46,176
MI,40,182
MI,56,187
MI,47,217
MI,54,177
MI,63,197
MI,59,170
MI,48,185
MI,52,197
MI,66,185
MI,42,176
MI,30,142
MI,50,210
MI,57,191
MI,69,179
MI,59,174
MI,52,171
MI,46,159
MI,42,204
MI,54,179
MI,48,137
MI,47,140
MI,46,157
