Team,Input,Total
PBKS,56,164
PBKS,62,150
PBKS,57,170
PBKS,40,188
PBKS,51,154
PBKS,46,198
PBKS,50,188
PBKS,59,207
PBKS,50,68
PBKS,35,138
PBKS,44,189
PBKS,41,153
PBKS,71,230
PBKS,32,73
PBKS,63,207
PBKS,54,168
PBKS,60,182
PBKS,55,162
PBKS,41,167
PBKS,49,169
PBKS,52,126
PBKS,35,163
PBKS,42,143
PBKS,51,180
PBKS,73,118
PBKS,43,189
PBKS,74,178
PBKS,47,174
PBKS,35,112
PBKS,67,104
PBKS,46,158
PBKS,44,168
PBKS,38,139
PBKS,26,119
PBKS,35,145
PBKS,51,154
PBKS,29,211
PBKS,53,174
PBKS,45,169
PBKS,51,119
PBKS,37,123
PBKS,39,134
PBKS,29,92
PBKS,44,142
PBKS,50,203
PBKS,27,164
PBKS,48,145
PBKS,76,183
PBKS,42,144
PBKS,48,163
PBKS,41,181
PBKS,69,204
PBKS,52,153
PBKS,56,158
PBKS,39,111
PBKS,43,178
PBKS,49,192
PBKS,36,112
PBKS,65,188
PBKS,62,166
PBKS,77,147
PBKS,46,202
PBKS,40,120
PBKS,24,136
PBKS,38,120
PBKS,34,120
PBKS,39,163
PBKS,49,181
PBKS,43,170
PBKS,30,232
PBKS,45,116
PBKS,45,160
PBKS,19,166
PBKS,38,116
PBKS,26,134
PBKS,45,124
PBKS,41,163
PBKS,48,163
PBKS,44,168
PBKS,43,156
PBKS,53,163
PBKS,33,134
PBKS,51,170
PBKS,44,190
PBKS,47,136
PBKS,43,123
PBKS,20,141
PBKS,56,100
PBKS,43,138
PBKS,34,126
PBKS,35,153
PBKS,36,123
PBKS,55,186
PBKS,53,171
PBKS,45,149
PBKS,55,170
PBKS,36,171
PBKS,46,176
PBKS,37,145
PBKS,41,120
PBKS,56,121
PBKS,41,194
PBKS,35,183
PBKS,64,206
PBKS,39,191
PBKS,43,193
PBKS,51,132
PBKS,33,124
PBKS,36,168
PBKS,38,231
PBKS,64,198
PBKS,49,150
PBKS,86,211
PBKS,66,165
PBKS,48,156
PBKS,53,179
PBKS,48,119
PBKS,46,163
PBKS,70,226
PBKS,32,199
PBKS,51,136
PBKS,57,177
PBKS,41,165
PBKS,48,155
PBKS,55,197
PBKS,39,192
PBKS,36,130
PBKS,27,118
PBKS,45,149
PBKS,34,226
PBKS,45,183
PBKS,47,180
PBKS,72,106
PBKS,41,130
PBKS,52,162
PBKS,37,111
PBKS,50,153
PBKS,41,138
PBKS,35,143
PBKS,40,164
PBKS,59,154
PBKS,37,157
PBKS,45,172
PBKS,50,174
PBKS,32,127
PBKS,47,179
PBKS,59,120
PBKS,52,172
PBKS,73,168
PBKS,51,161
PBKS,76,206
PBKS,53,201
PBKS,74,128
PBKS,52,157
PBKS,44,121
PBKS,51,184
PBKS,36,158
PBKS,33,149
PBKS,59,221
PBKS,48,93
PBKS,58,192
PBKS,32,164
PBKS,35,200
PBKS,53,196
PBKS,38,187
PBKS,54,175
PBKS,47,142
PBKS,38,152
PBKS,50,204
PBKS,60,180
PBKS,43,180
PBKS,50,177
PBKS,71,190
PBKS,47,232
PBKS,41,186
PBKS,75,188
