Team,Input,Total
RR,40,129
RR,53,166
RR,73,217
RR,45,138
RR,45,151
RR,44,109
RR,48,104
RR,50,141
RR,21,159
RR,38,221
RR,51,132
RR,42,147
RR,67,211
RR,36,146
RR,58,192
RR,41,163
RR,14,133
RR,72,168
RR,32,112
RR,33,143
RR,38,126
RR,30,142
RR,57,133
RR,31,107
RR,34,140
RR,30,113
RR,42,145
RR,24,136
RR,46,101
RR,39,208
RR,47,141
RR,31,92
RR,56,168
RR,53,152
RR,54,151
RR,58,177
RR,39,121
RR,62,223
RR,48,159
RR,70,157
RR,34,174
RR,30,130
RR,46,132
RR,31,137
RR,57,152
RR,31,160
RR,36,81
RR,45,195
RR,38,111
RR,18,94
RR,34,144
RR,47,147
RR,48,133
RR,43,146
RR,32,98
RR,52,134
RR,57,191
RR,37,164
RR,44,170
RR,45,131
RR,43,195
RR,62,197
RR,41,146
RR,48,143
RR,40,152
RR,56,144
RR,64,177
RR,49,126
RR,28,126
RR,45,170
RR,41,126
RR,31,162
RR,45,165
RR,35,125
RR,44,145
RR,48,124
RR,58,179
RR,31,117
RR,55,185
RR,30,146
RR,45,173
RR,34,132
RR,53,182
RR,49,155
RR,38,147
RR,24,144
RR,29,152
RR,33,113
RR,44,135
RR,42,165
RR,30,135
RR,54,193
RR,38,133
RR,36,71
RR,56,163
RR,38,156
RR,50,170
RR,37,102
RR,45,190
RR,42,149
RR,52,201
RR,47,153
RR,44,163
RR,35,195
RR,35,162
RR,42,186
RR,42,165
RR,36,131
RR,47,156
RR,49,206
RR,48,130
RR,55,179
RR,43,189
RR,36,194
RR,40,145
RR,66,199
RR,40,180
RR,51,133
RR,51,156
RR,56,231
RR,49,166
RR,37,210
RR,44,174
RR,43,141
RR,81,150
RR,51,160
RR,64,161
RR,58,180
RR,59,181
RR,69,144
RR,50,174
RR,52,179
RR,64,175
RR,36,203
RR,48,174
RR,61,164
RR,28,150
RR,60,158
RR,60,192
RR,62,190
RR,65,168
RR,52,196
RR,55,182
RR,61,167
RR,42,42
RR,31,124
