Team,Input,Total
SRH,59,207
SRH,59,140
SRH,34,159
SRH,45,172
SRH,29,159
SRH,39,191
SRH,45,176
SRH,60,181
SRH,79,209
SRH,66,185
SRH,47,136
SRH,43,140
SRH,47,158
SRH,30,128
SRH,38,126
SRH,57,150
SRH,38,114
SRH,39,180
SRH,25,119
SRH,33,127
SRH,40,159
SRH,29,144
SRH,36,130
SRH,41,80
SRH,40,161
SRH,49,146
SRH,37,150
SRH,52,178
SRH,21,136
SRH,45,132
SRH,27,132
SRH,41,133
SRH,45,121
SRH,55,180
SRH,37,145
SRH,44,172
SRH,47,155
SRH,50,134
SRH,44,44
SRH,43,157
SRH,55,205
SRH,41,142
SRH,51,161
SRH,64,189
SRH,49,160
SRH,46,164
SRH,65,166
SRH,35,127
SRH,50,163
SRH,43,176
SRH,52,137
SRH,56,150
SRH,76,192
SRH,33,132
SRH,56,201
SRH,41,157
SRH,56,185
SRH,68,135
SRH,29,114
SRH,56,182
SRH,36,142
SRH,33,145
SRH,63,137
SRH,65,146
SRH,27,118
SRH,49,194
SRH,38,129
SRH,51,92
SRH,34,137
SRH,51,146
SRH,55,180
SRH,46,158
SRH,48,149
SRH,43,162
SRH,46,163
SRH,59,200
SRH,60,135
SRH,57,155
SRH,50,144
SRH,42,191
SRH,41,180
SRH,61,130
SRH,39,140
SRH,39,152
SRH,64,170
SRH,41,155
SRH,52,190
SRH,32,181
SRH,56,222
SRH,68,183
SRH,47,148
SRH,47,179
SRH,45,187
SRH,58,189
SRH,74,211
SRH,59,233
SRH,71,142
SRH,41,102
SRH,35,158
SRH,41,121
SRH,69,139
SRH,76,167
SRH,56,185
SRH,53,169
SRH,89,174
SRH,67,172
SRH,53,179
SRH,54,170
